geneID,symbol,entity,0_R1,0_R2,0_R3,1_R1,1_R2,1_R3,4_R2,4_R3,7_R1,7_R2,7_R3,20_R1,20_R2,20_R3
gene-b4804,rbsZ,host,173.3989733688284,173.52778482672613,155.323190654624,145.5203688500223,135.98225950343857,145.83144478009993,44.06199602436362,48.69035332514461,22.730031672445392,30.56532074266723,23.84570683527127,13.389050331581036,12.888821039286086,11.092169685165011
gene-T4p220,cd.3,phage,0.0772799227651508,0.0700244563483467,5.540594237860116,29.135640010535912,18.783521228991944,11.327080474291568,1819.299743724828,1195.112175802892,4038.980242855873,3700.000001182365,3449.8505240854793,2626.2277081190696,2891.6964479512876,2514.259356607099
gene-b2861,insC4,host,0.3690855327690809,0.5808586051190731,0.2954249618464907,0.4170883584976279,0.4058077406393267,0.4386992685303356,0.1987087338387372,0.0479659445724984,0.1185343828023119,0.0724919645438431,0.0175438617324525,0.0467771175250076,0.0149553426120067,0.033931650931166
gene-b3457,livH,host,0.6672583622570303,0.8547969234497215,0.9497851061860824,0.6108935869842071,0.5417023654519723,0.5603792293619935,0.187084000840952,0.1578167539871846,0.1029599622787719,0.1103969168781411,0.0484869188333803,0.0554059061946692,0.0649516821531165,0.1205726625321044
gene-b2220,atoC,host,6.058166066579485,5.824054278507951,5.4720303229834535,7.294124619429331,7.394133248272407,5.94908381641099,0.8436022802897305,0.7050924637230035,0.4194372489290468,0.5059194928121645,0.4030531351260862,0.2264606483353544,0.3356859369837868,0.1881664278910115
gene-b3629,waaS,host,0.0075958898444379,0.117006677060699,0.0825133822007139,0.0263052004428818,0.1133437370833284,0.0706352140506988,0.0298846961641098,0.0187559142238615,0.0463499830188527,0.0202472977892602,0.0068600997799974,0.0060970174551826,0.017543767294854,0.0132681455564174
gene-b3484,yhhI,host,1.3444123766883755,1.3428436642210664,1.5079701595647106,1.468204981763971,1.7852685300597295,1.3207959663125015,0.8315357569082775,0.4065925890850833,0.2060434073619079,0.2566865868544525,0.2202472140448797,0.0652493477525612,0.1107247793384981,0.0764581263726009
gene-b4262,lptG,host,82.11994363432407,92.20804894065236,92.83592059848618,68.09039197187394,72.99261314989343,83.90557777883392,16.29767286210704,19.29541952386316,6.417405515904449,7.822075176956752,7.405259177472747,3.936275003253967,5.53430531727971,3.9103172909650095
gene-b1280,lapB,host,56.215661560716015,50.034808209438694,55.30376928620654,69.80347989523122,76.80171624766335,67.72100693386427,7.368370686222933,6.92718432001287,4.29386242686652,4.227635778397534,3.616644604014676,1.760818641056741,2.9052478640278254,2.133517805471931
gene-b3699,gyrB,host,150.276329811319,172.19614025684308,167.0205337180274,108.3496109344657,135.66893329690924,154.75226492438256,46.518198783976416,48.649067014579785,16.092345607386275,18.68152017458288,18.715442998307484,8.079328243393848,11.330353343509843,8.973551759920413
gene-b1040,csgD,host,0.8190959555753312,0.74219469862303,0.8779119669355228,0.9757895920968735,1.2276641458094706,1.0010762923524978,0.3007750065549124,0.3505713736957718,0.2798940910041689,0.0524003799006845,0.1676772775719201,0.0613635305166767,0.0924888008539769,0.0572303421235334
gene-b3683,glvC,host,1.2010151682490104,1.6120173853489328,1.1581390490350618,1.4990970164587354,1.6164229865238688,1.4248459902816926,0.2476299376460227,0.2273074482631677,0.1332467804509458,0.1266855315334525,0.1566110583921378,0.0463968157565116,0.0840579419439075,0.1009673515512745
gene-b0326,yahL,host,0.2526750415899784,0.1026338845497827,0.2082249468476841,0.404326404454413,0.3380310276543971,0.3125163041822935,0.2399565309647646,0.222312748006359,0.0531661569922134,0.0510946514799566,0.0865583178123212,0.0209809130075401,0.020123733073509,0.0152193434323612
gene-b3189,murA,host,106.53908285638948,129.74998241681234,133.17094081145862,89.52516508669969,106.14025683280973,125.34031333749024,59.074359680288765,70.89556948865157,24.439419046180685,24.27292338514319,24.710863418954386,7.033867737296111,8.753504462641924,7.047280739822884
gene-b2492,focB,host,6.908770480418076,6.169080373416895,5.876585586331556,7.615606496557738,8.12230031113039,6.774990283364554,1.1399691591194312,1.095928613447967,0.4190169489591269,0.6830565422389583,0.5218523959851092,0.2621502063415623,0.2385456415215486,0.2486722403930682
gene-b2964,nupG,host,18.682190779779607,18.260729270614696,19.231329002847076,20.33589126285817,18.719732592233083,17.55991902958839,2.719321908905296,2.9375611337152527,1.180364818148846,1.4684751385638926,1.2004355987336894,0.7581837648802752,1.127825574830997,0.7212297928233043
