geneID,symbol,entity,0_R1,0_R2,2.5_R1,2.5_R2,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2,30_R1,30_R2
gene-b2513,yfgM,host,92.76273535167392,77.96372502255446,74.26384194965816,75.62500928386834,66.37672302354635,68.37390394668262,35.60377568469684,56.0314527758469,23.173529083284443,22.737245904432108,25.428345234626757,23.6004336625414
gene-b1796,yoaG,host,3.3096980724104927,3.040303362285175,2.1410453691204703,2.613639846594862,1.2549899770442567,1.2750772058955433,1.2473341859902023,1.1991072511999916,1.7040055056819594,0.3722279639312867,1.4777822059990235,0.7729230346233756
gene-b0882,clpA,host,291.92127357291076,302.58794509808536,171.88686009319153,203.5741024819145,84.0343272802711,107.25329069072784,46.74615928516995,63.25840495686166,79.0662280491542,73.87859844932983,145.23229060933005,143.4518361982497
gene-b0933,ssuB,host,4.099189495332244,4.058311492807619,3.5424547417231462,3.7637656690349583,2.452132759834129,2.891256844769443,1.5270771035109034,2.4634108953864695,1.5291013501369777,1.4064484061265303,2.036217227797228,1.827563509450524
gene-b3618,htrL,host,11.674741855745996,12.76136838334154,12.02100076273297,7.76396987165488,11.381442668738565,9.571132768954918,6.5409097843346835,8.605764523944753,4.260774367763453,3.86748944941793,4.590829945209797,5.516275611546873
gene-b4169,amiB,host,43.73007689913269,38.28427454085004,39.66451184881972,42.83952236891752,30.79340205108995,36.09955129785432,19.136559805829116,25.42940106097416,14.34552827040418,13.92754952166344,13.82312692651826,13.165420140801992
gene-b4735,ybgU,host,79.93082490686842,71.77264153657842,43.89226772165239,40.62821070715273,46.18781445515212,46.20783820612318,33.16068997333148,55.51812559215817,42.450080419621905,37.93327913380705,55.415047963845026,60.54728925711021
gene-b3029,ygiN,host,160.22437147759445,168.68750019997736,105.90204891164692,113.30787105274445,79.8207091799535,73.86085476153936,45.30260414818208,62.150176372942475,59.038697746305665,56.81110308278615,80.06642349645641,81.41286091505134
gene-b1010,rutC,host,1.8058281074869411,1.8284837937849656,1.7254128037425691,2.3106091397432835,0.4035425135488043,1.030838861380418,0.4677919975793246,0.4137711382204874,0.3943130009024886,0.1760147736419262,0.8810909074527377,0.7590961467052473
gene-b0181,lpxA,host,385.7054620337744,327.9703823244325,359.3999139842327,363.4860529984748,386.47449745852936,423.14718723381657,255.31722212467312,369.7717257738313,144.67780100645132,137.62911614343452,106.03069005400332,101.0399624322357
